year,slope_year,combined_se,lower_95,upper_95,biome_name,agent
2013,43.56066646360929,2.2948011354781848,39.062856238072044,48.05847668914653,Boreal,Harvest
2014,50.27645810151652,2.3767452649404834,45.61803738223317,54.93487882079987,Boreal,Harvest
2015,60.93249830619415,2.6935218444369093,55.653195491097804,66.21180112129049,Boreal,Harvest
2016,57.191811972492765,2.4322036275519054,52.42469286249103,61.9589310824945,Boreal,Harvest
2017,48.92051656293086,2.2793945798118638,44.452903186499604,53.38812993936211,Boreal,Harvest
2019,42.365838858751694,2.3238942470133517,37.81100613460553,46.92067158289786,Boreal,Harvest
2020,43.11544256703208,2.257574791356775,38.690595975972805,47.54028915809136,Boreal,Harvest
2021,47.98733820348428,2.365750626790594,43.350466974974715,52.62420943199384,Boreal,Harvest
2022,42.38439745140655,2.279636620550393,37.91630967512778,46.85248522768532,Boreal,Harvest
1985,64.77379105809031,1.358050497739568,62.112012082520756,67.43557003365986,Temperate,Harvest
1986,71.76748787579834,1.2763993284863844,69.26574519196502,74.26923055963165,Temperate,Harvest
1987,66.7287229112472,1.3028446250976955,64.17514744605572,69.28229837643869,Temperate,Harvest
1988,67.22485952090312,1.288874393347165,64.69866570994267,69.75105333186357,Temperate,Harvest
1989,66.74293032308036,1.2950397843192039,64.20465234581472,69.281208300346,Temperate,Harvest
1990,71.59268199722455,1.28623473478243,69.07166191705099,74.1137020773981,Temperate,Harvest
1991,71.68399244690215,1.3750282579306876,68.988937061358,74.3790478324463,Temperate,Harvest
1992,70.60744185999474,1.2325398289067735,68.19166379533746,73.02321992465201,Temperate,Harvest
1993,61.366893271749866,1.3382133684349842,58.7439950696173,63.989791473882434,Temperate,Harvest
1994,71.24847843310964,1.309361640665301,68.68212961740565,73.81482724881363,Temperate,Harvest
1995,73.18709004099478,1.3760237499564414,70.49008349108016,75.8840965909094,Temperate,Harvest
1996,63.818307553043134,1.3231762879117046,61.22488202873619,66.41173307735008,Temperate,Harvest
1997,67.32474675469177,1.3372425660108485,64.7037513253105,69.94574218407304,Temperate,Harvest
1998,68.35462269912213,1.3602842926223797,65.68846548558227,71.020779912662,Temperate,Harvest
1999,77.44377539367913,1.3660306023674977,74.76635541303884,80.12119537431943,Temperate,Harvest
2000,60.075861397500134,1.2529690450008955,57.62004206929838,62.53168072570189,Temperate,Harvest
2001,67.08252964029826,1.3535755288580482,64.42952160373649,69.73553767686003,Temperate,Harvest
2002,68.30098659856884,1.2989089362533088,65.75512508351235,70.84684811362533,Temperate,Harvest
2003,68.00842697151455,1.3000621820182672,65.46030509475875,70.55654884827035,Temperate,Harvest
2004,75.86315415351089,1.3928744328257745,73.13312026517238,78.5931880418494,Temperate,Harvest
2005,69.9871466713357,1.3422401287590857,67.35635601896789,72.6179373237035,Temperate,Harvest
2006,68.28197728043261,1.3304783065823442,65.67423979953122,70.889714761334,Temperate,Harvest
2007,65.09849808212934,1.25076602498739,62.64699667315406,67.54999949110463,Temperate,Harvest
2008,75.8790823742984,1.3654638343632173,73.20277325894651,78.5553914896503,Temperate,Harvest
2009,67.64101704959815,1.4841523818336086,64.73207838120427,70.54995571799202,Temperate,Harvest
2010,80.50403099242743,1.3452161857923186,77.86740726827449,83.14065471658037,Temperate,Harvest
2011,77.93518172068723,1.3361770139080782,75.3162747734274,80.55408866794706,Temperate,Harvest
